"","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"NA.122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
